AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	26	79	living	no	FLAG	FLAG_90R.avi	5	90R	90	2hd	79	90to90	same	0	1	0	f	1710	131	0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	50	79	living	no	FLAG	FLAG_90R.avi	5	90R	90	2hd	79	90to90	same	0	1	0	f	1579	131	0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	67	83	living	no	FLOOR	FLOOR_45L.avi	2	45L	45	2hs	83	45to0	easier	45	1	0	f	2135	418	0.24	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	100	83	living	no	FLOOR	FLOOR_0.avi	1	0	0	2hs	83	45to0	easier	45	1	0	f	1717	418	0.24	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	45	26	edible	yes	FOOD	FOOD_0.avi	1	0	0	1h	146	0to45	harder	45	1	0	j	1245	-413	-0.25	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	113	26	edible	yes	FOOD	FOOD_45L.avi	2	45L	45	1h	146	0to45	harder	45	1	0	j	1658	-413	-0.25	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	70	91	living	no	FOOTBALL	FOOTBALL_45R.avi	3	45R	45	2hd	91	45to90	harder	45	1	0	f	1629	-157	-0.09	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	71	91	living	no	FOOTBALL	FOOTBALL_90R.avi	5	90R	90	2hd	91	45to90	harder	45	1	0	f	1786	-157	-0.09	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	85	25	living	yes	FRIEND	FRIEND_45L.avi	2	45L	45	2hs	25	45to0	easier	45	1	0	j	1322	-272	-0.17	-1	1	0	0	0	0	0	0	0	0	1
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	91	25	living	yes	FRIEND	FRIEND_0.avi	1	0	0	2hs	25	45to0	easier	45	0	1	f	1594	-272	-0.17	-1	1	0	0	0	0	0	0	0	1	0
